,RCLC1 Price,Date,Daily Return
10,,1994-01-03,
11,,1994-01-04,
12,,1994-01-05,
13,,1994-01-06,
14,,1994-01-07,
15,,1994-01-10,
16,,1994-01-11,
17,,1994-01-12,
18,2.194,1994-01-13,
19,2.268,1994-01-14,0.033172024012467015
20,2.36,1994-01-17,0.039763233172013114
21,2.318,1994-01-18,-0.01795687411995862
22,2.252,1994-01-19,-0.028886034640116087
23,2.25,1994-01-20,-0.0008884940611150559
24,2.305,1994-01-21,0.024150460232283122
25,2.47,1994-01-24,0.06913747419127404
26,2.246,1994-01-25,-0.09506729432363442
27,2.359,1994-01-26,0.0490869441092866
28,2.417,1994-01-27,0.024289301295807943
29,2.528,1994-01-28,0.04490137456326504
30,2.554,1994-01-31,0.010232281325736503
31,2.639,1994-02-01,0.03273929991083942
32,2.585,1994-02-02,-0.02067454956079452
33,2.383,1994-02-03,-0.0813653098437874
34,2.369,1994-02-04,-0.005892272939956543
35,2.347,1994-02-07,-0.009330008307762037
36,2.411,1994-02-08,0.0269036823301476
37,2.358,1994-02-09,-0.022227797083854813
38,2.374,1994-02-10,0.006762494072297171
39,2.356,1994-02-11,-0.0076110303981361364
40,2.252,1994-02-14,-0.04514655551189641
41,2.253,1994-02-15,0.00044395117266353694
42,2.345,1994-02-16,0.04002274044813532
43,2.385,1994-02-17,0.01691372244206162
44,2.418,1994-02-18,0.013741627852296608
45,2.296,1994-02-22,-0.051772273735281094
46,2.232,1994-02-23,-0.02827043393825536
47,2.248,1994-02-24,0.007142887512380204
48,2.292,1994-02-25,0.019383866821048375
49,2.208,1994-02-28,-0.03733767043764412
50,2.18,1994-03-01,-0.012762251613851293
51,2.171,1994-03-02,-0.00413698590484306
52,2.146,1994-03-03,-0.01158224668764799
53,2.188,1994-03-04,0.019382240351228087
54,2.167,1994-03-07,-0.009644162005512914
55,2.196,1994-03-08,0.013293801093062269
56,2.156,1994-03-09,-0.018382870600533535
57,2.116,1994-03-10,-0.018727139050697762
58,2.096,1994-03-11,-0.009496747537257197
59,2.05,1994-03-14,-0.022190973308479026
60,2.104,1994-03-15,0.02600050172514664
61,2.163,1994-03-16,0.027655852095458185
62,2.124,1994-03-17,-0.018195043591229195
63,2.103,1994-03-18,-0.009936206659129606
64,2.055,1994-03-21,-0.023089048772364815
65,2.107,1994-03-22,0.024989286873853978
66,2.077,1994-03-23,-0.014340589928076823
67,1.981,1994-03-24,-0.047322777177561254
68,2.072,1994-03-25,0.044912556680822634
69,2.066,1994-03-28,-0.0028999536997899827
70,2.062,1994-03-29,-0.001937985102678577
71,2.058,1994-03-30,-0.0019417481829102992
72,2.075,1994-03-31,0.008226516270804033
73,2.144,1994-04-04,0.03271208952589381
74,2.069,1994-04-05,-0.035607844445149646
75,2.097,1994-04-06,0.013442353156376988
76,2.085,1994-04-07,-0.005738896669018167
77,2.066,1994-04-08,-0.009154484553317977
78,2.068,1994-04-11,0.0009675859487360381
79,2.089,1994-04-12,0.010103525928246013
80,2.131,1994-04-13,0.019905870542051222
81,2.163,1994-04-14,0.014904793854441665
82,2.187,1994-04-15,0.011034594723709068
83,2.156,1994-04-18,-0.014276088647879876
84,2.129,1994-04-19,-0.012602267135408383
85,2.139,1994-04-20,0.004686044188926125
86,2.132,1994-04-21,-0.0032779237966703116
87,2.076,1994-04-22,-0.026617540999955978
88,2.152,1994-04-25,0.035954676995895885
89,2.103,1994-04-26,-0.0230327455789752
90,2.067,1994-04-28,-0.017266616020931533
91,2.067,1994-04-29,0.0
92,2.009,1994-05-02,-0.028461194866834
93,2.002,1994-05-03,-0.0034904049397686022
94,2.034,1994-05-04,0.015857616733339488
95,2.044,1994-05-05,0.004904374715089898
96,2.037,1994-05-06,-0.0034305350967892482
97,1.986,1994-05-09,-0.02535557162168794
98,1.99,1994-05-10,0.002012073113420235
99,1.95,1994-05-11,-0.02030526616074557
100,1.947,1994-05-12,-0.0015396461855927501
101,1.923,1994-05-13,-0.012403259783419912
102,1.913,1994-05-16,-0.005213776148526851
103,1.949,1994-05-17,0.01864373006730785
104,1.943,1994-05-18,-0.0030832501301207306
105,1.957,1994-05-19,0.007179518018636141
106,1.904,1994-05-20,-0.027455752044765726
107,1.851,1994-05-23,-0.02823090277781313
108,1.884,1994-05-24,0.017671142562810844
109,1.836,1994-05-25,-0.025807883955872475
110,1.862,1994-05-26,0.014061886656576629
111,1.842,1994-05-27,-0.010799241021760273
112,1.917,1994-05-31,0.03990952623039236
113,1.89,1994-06-01,-0.014184634991956525
114,1.982,1994-06-02,0.047529606836245214
115,1.965,1994-06-03,-0.008614190586571677
116,1.97,1994-06-06,0.002541297428672548
117,2.022,1994-06-07,0.026053577848382352
118,2.087,1994-06-08,0.03164050749678426
119,2.047,1994-06-09,-0.019352321415911252
120,2.134,1994-06-10,0.04162284620040896
121,2.121,1994-06-13,-0.006110477297016196
122,2.13,1994-06-14,0.004234304138788385
123,2.172,1994-06-15,0.01952642235035545
124,2.134,1994-06-16,-0.017650249192127505
125,2.085,1994-06-17,-0.0232292976287968
126,2.126,1994-06-20,0.019473424668991338
127,2.078,1994-06-21,-0.022836387242720604
128,2.024,1994-06-22,-0.02633014125181644
129,1.966,1994-06-23,-0.02907472970024436
130,2.134,1994-06-24,0.08199713115458686
131,2.136,1994-06-27,0.0009367682183868799
132,2.2,1994-06-28,0.029522439266321834
133,2.18,1994-06-29,-0.009132483563272587
134,2.184,1994-06-30,0.0018331810816609117
135,2.216,1994-07-01,0.014545711002378716
136,2.131,1994-07-05,-0.03911241576855751
137,2.122,1994-07-06,-0.004232312924688649
138,2.072,1994-07-07,-0.023844715794554647
139,2.023,1994-07-08,-0.023932766211628136
140,2.026,1994-07-11,0.0014818476408830887
141,2.005,1994-07-12,-0.010419345067959053
142,2.0,1994-07-13,-0.0024968801985871545
143,1.977,1994-07-14,-0.011566636371465405
144,1.948,1994-07-15,-0.01477733896813656
145,1.945,1994-07-18,-0.0015412281499336677
146,1.959,1994-07-19,0.007172161891994024
147,1.901,1994-07-20,-0.030054075456111592
148,1.84,1994-07-21,-0.032614491885397834
149,1.789,1994-07-22,-0.028108767094312235
150,1.845,1994-07-25,0.030822472965908496
151,1.868,1994-07-26,0.012389062314160502
152,1.843,1994-07-27,-0.013473661118964751
153,1.861,1994-07-28,0.009719298972427487
154,1.893,1994-07-29,0.01704889456707204
155,1.878,1994-08-01,-0.00795549144111474
156,1.816,1994-08-02,-0.03357110060696952
157,1.742,1994-08-03,-0.04160240174879054
158,1.761,1994-08-04,0.01084795108375799
159,1.719,1994-08-05,-0.024139103113356788
160,1.671,1994-08-08,-0.028320476787455612
161,1.703,1994-08-09,0.018969152067294548
162,1.766,1994-08-10,0.03632570050121691
163,1.686,1994-08-11,-0.04635824260210459
164,1.72,1994-08-12,0.019965431245698006
165,1.753,1994-08-15,0.019004315113735674
166,1.79,1994-08-16,0.020887013913566305
167,1.837,1994-08-17,0.025918186380325024
168,1.731,1994-08-18,-0.059434530038916335
169,1.674,1994-08-19,-0.03348330412678868
170,1.612,1994-08-22,-0.03774032798284697
171,1.532,1994-08-23,-0.05090157276603702
172,1.484,1994-08-24,-0.0318329265732109
173,1.62,1994-08-25,0.08768500449910405
174,1.617,1994-08-26,-0.0018535686493229438
175,1.661,1994-08-29,0.026847250036188056
176,1.601,1994-08-30,-0.036791396616580166
177,1.586,1994-08-31,-0.009413310801921345
178,1.596,1994-09-01,0.006285375814960737
179,1.56,1994-09-02,-0.0228146777661714
180,1.596,1994-09-06,0.022814677766171264
181,1.631,1994-09-07,0.021692824611259754
182,1.659,1994-09-08,0.017021687569430743
183,1.638,1994-09-09,-0.012739025777429826
184,1.688,1994-09-12,0.0300684107428878
185,1.675,1994-09-13,-0.007731230896735541
186,1.684,1994-09-14,0.005358750543105084
187,1.631,1994-09-15,-0.0319785921812581
188,1.628,1994-09-16,-0.0018410560585283163
189,1.633,1994-09-19,0.003066546407979544
190,1.556,1994-09-20,-0.04830038823212814
191,1.493,1994-09-21,-0.04133090719914651
192,1.445,1994-09-22,-0.03267819699265783
193,1.406,1994-09-23,-0.027360528175922404
194,1.716,1994-09-26,0.19924720767729745
195,1.715,1994-09-27,-0.0005829204478671973
196,1.702,1994-09-28,-0.007609050466720969
197,1.707,1994-09-29,0.0029334136611213306
198,1.657,1994-09-30,-0.029728705367877712
199,1.683,1994-10-03,0.015569176764243096
200,1.692,1994-10-04,0.005333345975362603
201,1.664,1994-10-05,-0.01668691878501471
202,1.647,1994-10-06,-0.010268891203513571
203,1.624,1994-10-07,-0.01406320945601699
204,1.658,1994-10-10,0.02071981497361681
205,1.664,1994-10-11,0.0036122856859135658
206,1.642,1994-10-12,-0.01330933136878038
207,1.61,1994-10-13,-0.019680832033864778
208,1.632,1994-10-14,0.013572077545543466
209,1.653,1994-10-17,0.012785562296971925
210,1.635,1994-10-18,-0.010949014489670469
211,1.585,1994-10-19,-0.031058397019972855
212,1.557,1994-10-20,-0.017823514477382684
213,1.597,1994-10-21,0.025365976381014187
214,1.683,1994-10-24,0.05245104597579363
215,1.947,1994-10-25,0.14571181118139379
216,2.031,1994-10-26,0.04223855620818512
217,2.008,1994-10-27,-0.011389080768764923
218,1.992,1994-10-28,-0.008000042667076265
219,1.95,1994-10-31,-0.021309786586751096
220,1.936,1994-11-01,-0.007205383721270112
221,1.869,1994-11-02,-0.03522046038095945
222,1.861,1994-11-03,-0.00428955081331212
223,1.856,1994-11-04,-0.002690343296104824
224,1.759,1994-11-07,-0.05367816860858784
225,1.754,1994-11-08,-0.0028465718054298096
226,1.775,1994-11-09,0.011901528977387792
227,1.741,1994-11-10,-0.019340762141327014
228,1.741,1994-11-11,0.0
229,1.703,1994-11-14,-0.0220682591055008
230,1.735,1994-11-15,0.01861601171827135
231,1.659,1994-11-16,-0.044792402190515064
232,1.618,1994-11-17,-0.025024192572007425
233,1.685,1994-11-18,0.04057474516802505
234,1.661,1994-11-21,-0.014345733173167253
235,1.874,1994-11-22,0.12065535318507267
236,1.875,1994-11-23,0.0005334756061435616
237,1.871,1994-11-28,-0.002135612130421561
238,1.77,1994-11-29,-0.05549350070621482
239,1.695,1994-11-30,-0.04329680575332419
240,1.653,1994-12-01,-0.025090921993526426
241,1.635,1994-12-02,-0.010949014489670469
242,1.728,1994-12-05,0.05532186603264722
243,1.691,1994-12-06,-0.021644600465420574
244,1.784,1994-12-07,0.05353796424137432
245,1.847,1994-12-08,0.03470466705928524
246,1.842,1994-12-09,-0.0027107633839877784
247,1.913,1994-12-12,0.03782075262500074
248,1.768,1994-12-13,-0.07882372624266414
249,1.714,1994-12-14,-0.03101914403986365
250,1.718,1994-12-15,0.0023310033864756084
251,1.685,1994-12-16,-0.019395259757738533
252,1.577,1994-12-19,-0.06624125582342377
253,1.573,1994-12-20,-0.002539683904760532
254,1.592,1994-12-21,0.012006463346050544
255,1.639,1994-12-22,0.029095212339501283
256,1.571,1994-12-23,-0.04237394048820856
257,1.694,1994-12-27,0.07538023695637862
258,1.685,1994-12-28,-0.00532703242553757
259,1.686,1994-12-29,0.0005932957753387094
260,1.725,1994-12-30,0.022868190903659345
261,1.683,1995-01-03,-0.024649135274654118
262,1.617,1995-01-04,-0.04000533461369925
263,1.552,1995-01-05,-0.04102815883394271
264,1.499,1995-01-06,-0.03474620264056635
265,1.454,1995-01-09,-0.030479840009133136
266,1.439,1995-01-10,-0.010369951206096777
267,1.437,1995-01-11,-0.0013908208083428532
268,1.343,1995-01-12,-0.06765168955578746
269,1.323,1995-01-13,-0.015004032408281898
270,1.39,1995-01-16,0.049401862009781715
271,1.434,1995-01-17,0.031163995034828293
272,1.335,1995-01-18,-0.07153645032521581
273,1.359,1995-01-19,0.017817843316793893
274,1.425,1995-01-20,0.047422678551607214
275,1.389,1995-01-23,-0.02558774994840717
276,1.416,1995-01-24,0.019251931499321306
277,1.361,1995-01-25,-0.03961627160219893
278,1.382,1995-01-26,0.01531200167614912
279,1.391,1995-01-27,0.006491187595827681
280,1.378,1995-01-30,-0.009389740349839143
281,1.354,1995-01-31,-0.01756999810138338
282,1.39,1995-02-01,0.026240572652517002
283,1.435,1995-02-02,0.031861102068984064
284,1.482,1995-02-03,0.03222767766231071
285,1.538,1995-02-06,0.037090344209557216
286,1.421,1995-02-07,-0.07912202196848862
287,1.438,1995-02-08,0.011892410183891268
288,1.489,1995-02-09,0.03485149440301709
289,1.47,1995-02-10,-0.012842352911227041
290,1.39,1995-02-13,-0.05595865364804461
291,1.392,1995-02-14,0.0014378147696274175
292,1.386,1995-02-15,-0.004319661144516396
293,1.399,1995-02-16,0.009335794915632741
294,1.419,1995-02-17,0.01419470249456146
295,1.428,1995-02-21,0.006322465739486888
296,1.428,1995-02-22,0.0
297,1.46,1995-02-23,0.02216157180285235
298,1.469,1995-02-24,0.0061454614714951845
299,1.43,1995-02-27,-0.026907452919924496
300,1.483,1995-02-28,0.03639261888397924
301,1.483,1995-03-01,0.0
302,1.481,1995-03-02,-0.0013495278701333038
303,1.448,1995-03-03,-0.022534241322137185
304,1.431,1995-03-06,-0.011809793389210666
305,1.432,1995-03-07,0.0006985679641398434
306,1.449,1995-03-08,0.01180159480009156
307,1.442,1995-03-09,-0.004842624475788126
308,1.463,1995-03-10,0.014458083175229917
309,1.456,1995-03-13,-0.004796172263493055
310,1.47,1995-03-14,0.009569451016150672
311,1.506,1995-03-15,0.02419472858705697
312,1.62,1995-03-16,0.07296901986659102
313,1.566,1995-03-17,-0.03390155167568134
314,1.523,1995-03-20,-0.027842523655586687
315,1.513,1995-03-21,-0.006587639106805846
316,1.548,1995-03-22,0.022869340361316638
317,1.566,1995-03-23,0.011560822401076006
318,1.566,1995-03-24,0.0
319,1.657,1995-03-27,0.0564841408758144
320,1.635,1995-03-28,-0.013365934095209111
321,1.659,1995-03-29,0.014572206859090725
322,1.687,1995-03-30,0.016736792355523826
323,1.685,1995-03-31,-0.0011862397595061973
324,1.681,1995-04-03,-0.00237670937784644
325,1.694,1995-04-04,0.0077037418033839835
326,1.654,1995-04-05,-0.023895999628363127
327,1.636,1995-04-06,-0.010942358420944244
328,1.623,1995-04-07,-0.00797794964810109
329,1.597,1995-04-10,-0.016149419299578836
330,1.623,1995-04-11,0.01614941929957881
331,1.621,1995-04-12,-0.001233045778915089
332,1.619,1995-04-13,-0.0012345680580409795
333,1.656,1995-04-17,0.02259638126756988
334,1.679,1995-04-18,0.013793322132335988
335,1.717,1995-04-19,0.02238020381993476
336,1.694,1995-04-20,-0.013485985685475854
337,1.672,1995-04-21,-0.013072081567352775
338,1.713,1995-04-24,0.024225704679473006
339,1.685,1995-04-25,-0.01648065553765784
340,1.668,1995-04-26,-0.010140259867770092
341,1.652,1995-04-27,-0.009638628837768745
342,1.662,1995-04-28,0.006035021334470078
343,1.695,1995-05-01,0.019661044399157192
344,1.666,1995-05-02,-0.017257197087762677
345,1.666,1995-05-03,0.0
346,1.653,1995-05-04,-0.007833724905763777
347,1.651,1995-05-05,-0.0012106539008961388
348,1.66,1995-05-08,0.0054364374304608646
349,1.681,1995-05-09,0.012571252058026802
350,1.678,1995-05-10,-0.0017862463814642148
351,1.651,1995-05-11,-0.01622144310702341
352,1.662,1995-05-12,0.006640531495265463
353,1.73,1995-05-15,0.04009971207643112
354,1.717,1995-05-16,-0.007542826594349012
355,1.695,1995-05-17,-0.012895841082924882
356,1.743,1995-05-18,0.027925025705470286
357,1.741,1995-05-19,-0.0011481057518318604
358,1.729,1995-05-22,-0.006916454084898499
359,1.757,1995-05-23,0.016064602503806622
360,1.81,1995-05-24,0.0297190360727744
361,1.775,1995-05-25,-0.01952642235035538
362,1.769,1995-05-26,-0.003386007749730868
363,1.718,1995-05-30,-0.029253591615584593
364,1.718,1995-05-31,0.0
365,1.735,1995-06-01,0.00984658983675903
366,1.688,1995-06-02,-0.027463017225057174
367,1.731,1995-06-05,0.025154880020307017
368,1.686,1995-06-06,-0.026340416614408602
369,1.693,1995-06-07,0.004143243571334591
370,1.697,1995-06-08,0.002359883101090948
371,1.704,1995-06-09,0.004116442155034575
372,1.712,1995-06-12,0.0046838493124264375
373,1.708,1995-06-13,-0.002339182353172266
374,1.698,1995-06-14,-0.005872007477222553
375,1.673,1995-06-15,-0.014832665884468648
376,1.628,1995-06-16,-0.02726615442433846
377,1.62,1995-06-19,-0.004926118336055666
378,1.603,1995-06-20,-0.01054927561687683
379,1.565,1995-06-21,-0.023991049635299404
380,1.565,1995-06-22,0.0
381,1.532,1995-06-23,-0.021311752673716943
382,1.56,1995-06-26,0.018111749943046103
383,1.569,1995-06-27,0.005752652489449841
384,1.532,1995-06-28,-0.023864402432495883
385,1.52,1995-06-29,-0.007863736460214576
386,1.53,1995-06-30,0.0065574005461590396
387,1.472,1995-07-05,-0.03864571509765969
388,1.471,1995-07-06,-0.0006795786873839907
389,1.5,1995-07-07,0.019522666488863947
390,1.565,1995-07-10,0.042420715883952055
391,1.527,1995-07-11,-0.02458079775562116
392,1.536,1995-07-12,0.005876608488985191
393,1.487,1995-07-13,-0.032420967247462365
394,1.512,1995-07-14,0.016672610279323236
395,1.494,1995-07-17,-0.01197619104671565
396,1.525,1995-07-18,0.020537323348749418
397,1.495,1995-07-19,-0.01986820321672506
398,1.463,1995-07-20,-0.02163708480466252
399,1.438,1995-07-21,-0.01723586273913242
400,1.385,1995-07-24,-0.03755311965955311
401,1.432,1995-07-25,0.03337192889915209
402,1.47,1995-07-26,0.026190332252191074
403,1.49,1995-07-27,0.013513719166722855
404,1.523,1995-07-28,0.02190595395565692
405,1.614,1995-07-31,0.05803349593473238
406,1.459,1995-08-01,-0.10096430030710841
407,1.422,1995-08-02,-0.025686938159599614
408,1.432,1995-08-03,0.0070077371574048
409,1.456,1995-08-04,0.01662088123604028
410,1.478,1995-08-07,0.014996872751515752
411,1.471,1995-08-08,-0.00474738090670955
412,1.539,1995-08-09,0.04519041323744159
413,1.504,1995-08-10,-0.023004629329094032
414,1.503,1995-08-11,-0.0006651147568107455
415,1.55,1995-08-14,0.030791820160317968
416,1.559,1995-08-15,0.005789659144484042
417,1.527,1995-08-16,-0.02073956383914412
418,1.53,1995-08-17,0.001962709167848689
419,1.577,1995-08-18,0.03025657257655713
420,1.618,1995-08-21,0.025666510655398725
421,1.567,1995-08-22,-0.03202785526241629
