SYMBOL,PN,TYPE,DATE,VOL
NG,N/A,QMLE-Trade,04/01/2022,0.633285
NG,N/A,QMLE-Trade,05/01/2022,0.543944
NG,N/A,QMLE-Trade,06/01/2022,0.644733
NG,N/A,QMLE-Trade,07/01/2022,0.57335
NG,N/A,QMLE-Trade,10/01/2022,0.612192
NG,N/A,QMLE-Trade,11/01/2022,0.52992
NG,N/A,QMLE-Trade,12/01/2022,0.680769
NG,N/A,QMLE-Trade,13/01/2022,0.87301
NG,N/A,QMLE-Trade,14/01/2022,0.74446
NG,N/A,QMLE-Trade,18/01/2022,0.575156
NG,N/A,QMLE-Trade,19/01/2022,0.691559
NG,N/A,QMLE-Trade,20/01/2022,0.634381
NG,N/A,QMLE-Trade,21/01/2022,0.590425
NG,N/A,QMLE-Trade,24/01/2022,0.553128
NG,N/A,QMLE-Trade,25/01/2022,0.549822
NG,N/A,QMLE-Trade,26/01/2022,0.645341
NG,N/A,QMLE-Trade,27/01/2022,0.764189
NG,N/A,QMLE-Trade,28/01/2022,1.02737
NG,N/A,QMLE-Trade,31/01/2022,0.844378
NG,N/A,QMLE-Trade,01/02/2022,0.849612
NG,N/A,QMLE-Trade,02/02/2022,0.970497
NG,N/A,QMLE-Trade,03/02/2022,0.986613
NG,N/A,QMLE-Trade,04/02/2022,0.917282
NG,N/A,QMLE-Trade,07/02/2022,0.725407
NG,N/A,QMLE-Trade,08/02/2022,0.701909
NG,N/A,QMLE-Trade,09/02/2022,0.533198
NG,N/A,QMLE-Trade,10/02/2022,0.528355
NG,N/A,QMLE-Trade,11/02/2022,0.704654
NG,N/A,QMLE-Trade,14/02/2022,0.637702
NG,N/A,QMLE-Trade,15/02/2022,0.716627
NG,N/A,QMLE-Trade,16/02/2022,0.714587
NG,N/A,QMLE-Trade,17/02/2022,0.845281
NG,N/A,QMLE-Trade,18/02/2022,0.744387
NG,N/A,QMLE-Trade,22/02/2022,0.821909
NG,N/A,QMLE-Trade,23/02/2022,0.550537
NG,N/A,QMLE-Trade,24/02/2022,0.942289
NG,N/A,QMLE-Trade,25/02/2022,0.747712
NG,N/A,QMLE-Trade,28/02/2022,0.650036
NG,N/A,QMLE-Trade,01/03/2022,0.631976
NG,N/A,QMLE-Trade,02/03/2022,0.716173
NG,N/A,QMLE-Trade,03/03/2022,0.680361
NG,N/A,QMLE-Trade,04/03/2022,0.722786
NG,N/A,QMLE-Trade,07/03/2022,0.725964
NG,N/A,QMLE-Trade,08/03/2022,0.741151
NG,N/A,QMLE-Trade,09/03/2022,0.677404
NG,N/A,QMLE-Trade,10/03/2022,0.626237
NG,N/A,QMLE-Trade,11/03/2022,0.498637
NG,N/A,QMLE-Trade,14/03/2022,0.495696
NG,N/A,QMLE-Trade,15/03/2022,0.485965
NG,N/A,QMLE-Trade,16/03/2022,0.442891
NG,N/A,QMLE-Trade,17/03/2022,0.464691
NG,N/A,QMLE-Trade,18/03/2022,0.450394
NG,N/A,QMLE-Trade,21/03/2022,0.43779
NG,N/A,QMLE-Trade,22/03/2022,0.499751
NG,N/A,QMLE-Trade,23/03/2022,0.490419
NG,N/A,QMLE-Trade,24/03/2022,0.585866
NG,N/A,QMLE-Trade,25/03/2022,0.524884
NG,N/A,QMLE-Trade,28/03/2022,0.616525
NG,N/A,QMLE-Trade,29/03/2022,0.471445
NG,N/A,QMLE-Trade,30/03/2022,0.518837
NG,N/A,QMLE-Trade,31/03/2022,0.546757
NG,N/A,QMLE-Trade,01/04/2022,0.473667
NG,N/A,QMLE-Trade,04/04/2022,0.521479
NG,N/A,QMLE-Trade,05/04/2022,0.564446
NG,N/A,QMLE-Trade,06/04/2022,0.654646
NG,N/A,QMLE-Trade,07/04/2022,0.714206
NG,N/A,QMLE-Trade,08/04/2022,0.514597
NG,N/A,QMLE-Trade,11/04/2022,0.532052
NG,N/A,QMLE-Trade,12/04/2022,0.644304
NG,N/A,QMLE-Trade,13/04/2022,0.526991
NG,N/A,QMLE-Trade,14/04/2022,0.567091
NG,N/A,QMLE-Trade,18/04/2022,0.63159
NG,N/A,QMLE-Trade,19/04/2022,0.793545
NG,N/A,QMLE-Trade,20/04/2022,0.844194
NG,N/A,QMLE-Trade,21/04/2022,0.799475
NG,N/A,QMLE-Trade,22/04/2022,0.712166
NG,N/A,QMLE-Trade,25/04/2022,0.702137
NG,N/A,QMLE-Trade,26/04/2022,0.722026
NG,N/A,QMLE-Trade,27/04/2022,0.722198
NG,N/A,QMLE-Trade,28/04/2022,0.722775
NG,N/A,QMLE-Trade,02/05/2022,0.688677
NG,N/A,QMLE-Trade,03/05/2022,0.650174
NG,N/A,QMLE-Trade,04/05/2022,0.711215
NG,N/A,QMLE-Trade,05/05/2022,0.874101
NG,N/A,QMLE-Trade,06/05/2022,0.826042
NG,N/A,QMLE-Trade,09/05/2022,0.986734
NG,N/A,QMLE-Trade,10/05/2022,1.30353
NG,N/A,QMLE-Trade,11/05/2022,0.901115
NG,N/A,QMLE-Trade,12/05/2022,1.03376
NG,N/A,QMLE-Trade,13/05/2022,0.712246
NG,N/A,QMLE-Trade,16/05/2022,0.713496
NG,N/A,QMLE-Trade,17/05/2022,0.689419
NG,N/A,QMLE-Trade,18/05/2022,0.682683
NG,N/A,QMLE-Trade,19/05/2022,0.753754
NG,N/A,QMLE-Trade,20/05/2022,0.700437
NG,N/A,QMLE-Trade,23/05/2022,0.612143
NG,N/A,QMLE-Trade,24/05/2022,0.627062
NG,N/A,QMLE-Trade,26/05/2022,0.72505
NG,N/A,QMLE-Trade,31/05/2022,0.645382
NG,N/A,QMLE-Trade,01/06/2022,0.656973
NG,N/A,QMLE-Trade,02/06/2022,0.882317
NG,N/A,QMLE-Trade,03/06/2022,0.639807
NG,N/A,QMLE-Trade,06/06/2022,0.571552
NG,N/A,QMLE-Trade,07/06/2022,0.645852
NG,N/A,QMLE-Trade,08/06/2022,1.0557
NG,N/A,QMLE-Trade,09/06/2022,1.09292
NG,N/A,QMLE-Trade,10/06/2022,0.718297
NG,N/A,QMLE-Trade,13/06/2022,0.85786
NG,N/A,QMLE-Trade,14/06/2022,1.38994
NG,N/A,QMLE-Trade,15/06/2022,0.877512
NG,N/A,QMLE-Trade,16/06/2022,0.872166
NG,N/A,QMLE-Trade,17/06/2022,0.910127
NG,N/A,QMLE-Trade,21/06/2022,0.720335
NG,N/A,QMLE-Trade,22/06/2022,0.648931
NG,N/A,QMLE-Trade,23/06/2022,0.897327
NG,N/A,QMLE-Trade,24/06/2022,0.929863
NG,N/A,QMLE-Trade,27/06/2022,0.760358
NG,N/A,QMLE-Trade,28/06/2022,0.691268
NG,N/A,QMLE-Trade,29/06/2022,0.718339
NG,N/A,QMLE-Trade,30/06/2022,1.15213
NG,N/A,QMLE-Trade,01/07/2022,1.08109
NG,N/A,QMLE-Trade,05/07/2022,1.0911
NG,N/A,QMLE-Trade,06/07/2022,0.873551
NG,N/A,QMLE-Trade,07/07/2022,0.997152
NG,N/A,QMLE-Trade,08/07/2022,0.833983
